lat,lon,iata,name,city,country,elevation
38.509806,-107.89425,MTJ,Montrose Regional Airport,Montrose,US,5758.5
39.325659,-76.413763,MTN,Martin State Airport,Baltimore,US,22.2
39.477889,-88.279972,MTO,Coles County Memorial Airport,Mattoon/Charleston,US,722.3
41.076667,-71.920472,MTP,Montauk Airport,Montauk,US,6.8
44.128778,-87.680583,MTW,Manitowoc County Airport,Manitowoc,US,650.9
40.43523,-76.568631,MUI,Muir Army Heliport (Fort Indiantown Gap) Heliport,Fort Indiantown Gap (Annville),US,487.1
31.137687,-83.70406,MUL,Spence Airport,Moultrie,US,292
43.043594,-115.872436,MUO,Mountain Home Afb Airport,Mountain Home,US,2995.9
41.367889,-91.148222,MUT,Muscatine Municipal Airport,Muscatine,US,547.2
31.458056,-87.351028,MVC,Monroe County Aeroplex Airport,Monroeville,US,419.1
44.969194,-95.710389,MVE,Montevideo-Chippewa County Airport,Montevideo,US,1034
44.534355,-72.613992,MVL,Morrisville-Stowe State Airport,Morrisville,US,732.9
38.323361,-88.8585,MVN,Mount Vernon Airport,Mount Vernon,US,480.4
41.393417,-70.613874,MVY,Martha's Vineyard Airport,Vineyard Haven,US,66.9
37.754972,-89.011083,MWA,Veterans Airport Of Southern Illinois Airport,Marion,US,471.7
43.11038,-88.034418,MWC,Lawrence J Timmerman Airport,Milwaukee,US,744.8
47.208583,-119.319139,MWH,Grant County International Airport,Moses Lake,US,1188.6
32.781606,-98.060175,MWL,Mineral Wells Regional Airport,Mineral Wells,US,973.6
43.913412,-95.1094,MWM,Windom Municipal Airport,Windom,US,1410.8
39.53175,-84.396444,MWO,Middletown Regional/Hook Field,Middletown,US,650.6
35.894447,-90.154571,MXA,Manila Municipal Airport,Manila,US,242.7
32.382944,-86.365778,MXF,Maxwell Afb Airport,Montgomery,US,170.8
42.220362,-91.163298,MXO,Monticello Regional Airport,Monticello,US,833.3
32.815722,-117.139556,MYF,Montgomery-Gibbs Executive Airport,San Diego,US,427.3
61.336161,-142.685886,MYK,May Creek Airport,May Creek,US,1681
44.888744,-116.101752,MYL,Mc Call Municipal Airport,Mc Call,US,5024.1
33.679741,-78.928321,MYR,Myrtle Beach International Airport,Myrtle Beach,US,25
39.097778,-121.569833,MYV,Yuba County Airport,Marysville,US,64.3
32.509833,-111.325333,MZJ,Pinal Airpark,Marana,US,1893.1
40.489917,-85.679778,MZZ,Marion Municipal - Mckinney Field,Marion,US,858.7
42.592642,-76.214883,CTX,Cortland County/Chase Field,Cortland,US,1197.3
42.302583,-75.415972,SXY,Sidney Municipal Airport,Sidney,US,1026.9
42.524778,-75.064472,ONH,Albert S Nader Regional Airport,Oneonta,US,1763.3
29.827215,-90.02659,NBG,New Orleans Nas Jrb (Alvin Callender Field) Airport,New Orleans,US,2.1
30.390314,-87.63156,NHX,Barin Nolf Airport,Foley,US,50.8
38.332878,-77.037011,DGN,Dahlgren Nsf Airport,Dahlgren,US,18
40.035788,-74.351366,NEL,Lakehurst Maxfield Field,Lakehurst,US,100.6
30.349495,-81.866989,NEN,Whitehouse Nolf Airport,Jacksonville,US,97
30.042417,-90.02825,NEW,Lakefront Airport,New Orleans,US,7.3
39.417831,-118.698588,NFL,Fallon Nas (Van Voorhis Field) Airport,Fallon,US,3934.8
32.769186,-97.441535,FWH,Fort Worth Nas Jrb (Carswell Field) Airport,Fort Worth,US,650
27.692701,-97.290379,NGP,Corpus Christi Nas (Truax Field) Airport,Corpus Christi,US,18.4
36.937469,-76.289278,NGU,Norfolk Ns (Chambers Field) Airport,Norfolk,US,14.8
27.70242,-97.438819,NGW,Cabaniss Field Nolf Airport,Corpus Christi,US,31.7
38.286334,-76.409971,NHK,Patuxent River Nas (Trapnell Field) Airport,Patuxent River,US,38.6
60.020234,-151.589419,NIN,Ninilchik Airport,Ninilchik,US,276
30.233706,-81.676057,NIP,Jacksonville Nas (Towers Field) Airport,Jacksonville,US,22.5
32.826633,-115.668563,NJK,El Centro Naf (Vraciu Field) Airport,El Centro,US,-42.5
32.868529,-117.143192,NKX,Miramar Mcas (Joe Foss Field) Airport,San Diego,US,476.9
36.333127,-119.952162,NLC,Lemoore Nas (Reeves Field) Airport,Lemoore,US,228.3
30.353273,-87.317971,NPA,Pensacola Nas (Forrest Sherman Field) Airport,Pensacola,US,28.2
35.356639,-89.87043,NQA,Millington/Memphis Airport,Millington,US,322.4
27.504514,-97.80829,NQI,Kingsville Nas Airport,Kingsville,US,49.7
24.574637,-81.686645,NQX,Key West Nas (Boca Chica Field) Airport,Key West,US,5.7
30.391374,-81.424521,NRB,Mayport Ns (Adm David L Mcdonald Field) Airport,Mayport,US,14.8
32.56616,-117.113525,NRS,Imperial Beach Nolf (Ream Field) Airport,Imperial Beach,US,23.2
30.722472,-87.023903,NSE,Whiting Field Nas North Airport,Milton,US,199
34.119276,-119.119589,NTD,Point Mugu Nas (Naval Base Ventura Co) Airport,Oxnard,US,13
36.822746,-76.031895,NTU,Oceana Nas (Apollo Soucek Field) Airport,Virginia Beach,US,21.7
37.416144,-122.049129,NUQ,Moffett Federal Airfield,Mountain View,US,36.9
48.35184,-122.655959,NUW,Whidbey Island Nas (Ault Field) Airport,Oak Harbor,US,47.4
37.852477,-94.304608,NVD,Nevada Municipal Airport,Nevada,US,892
38.503625,-77.305034,NYG,Quantico Mcaf (Turner Field) Airport,Quantico,US,10.3
32.656574,-114.605987,YUM,Yuma Mcas/Yuma International Airport,Yuma,US,213.3
32.698199,-117.213115,NZY,North Island Nas (Halsey Field) Airport,San Diego,US,26
39.818528,-120.352806,NVN,Nervino Airport,Beckwourth,US,4899.9
40.718952,-123.927217,NLN,Kneeland Airport,Eureka,US,2741
38.030417,-120.414556,COA,Columbia Airport,Columbia,US,2120.7
37.756344,-120.800208,ODC,Oakdale Airport,Oakdale,US,236.5
39.005402,-119.156542,EYR,Yerington Municipal Airport,Yerington,US,4381.9
40.57368,-122.407336,BZF,Benton Field,Redding,US,723.2
34.829167,-77.612139,OAJ,Albert J Ellis Airport,Jacksonville,US,92.9
37.721261,-122.221151,OAK,Oakland San Francisco Bay Airport,Oakland,US,9
36.681528,-121.761667,OAR,Marina Municipal Airport,Marina,US,136.6
27.266574,-80.850391,OBE,Okeechobee County Airport,Okeechobee,US,33.5
29.171877,-82.224115,OCF,Ocala International-Jim Taylor Field,Ocala,US,89.7
31.577764,-94.710111,OCH,Nacogdoches A L Mangham Jr Regional Airport,Nacogdoches,US,343.1
35.570472,-77.049806,OCW,Washington-Warren Airport,Washington,US,37.4
31.921415,-102.387133,ODT,Odessa-Schlemeyer Field,Odessa,US,3003.6
45.309388,-92.689909,OEO,L O Simenstad Municipal Airport,Osceola,US,905.6
41.119329,-95.908517,OFF,Offutt Afb Airport,Omaha,US,1048.2
41.98546,-97.435114,OFK,Norfolk Regional/Karl Stefan Memorial Field,Norfolk,US,1572.6
41.119472,-101.769699,OGA,Searle Field,Ogallala,US,3279.3
33.456918,-80.859407,OGB,Orangeburg Municipal Airport,Orangeburg,US,195.4
41.19507,-112.012195,OGD,Ogden-Hinckley Airport,Ogden,US,4472.5
44.68225,-75.46325,OGS,Ogdensburg International Airport,Ogdensburg,US,301.8
42.566556,-75.524111,OIC,Lt Warren Eaton Airport,Norwich,US,1024.4
38.847598,-94.737584,OJC,Johnson County Executive Airport,Olathe,US,1096.3
33.217976,-117.351507,OCN,Bob Maxwell Memorial Airfield,Oceanside,US,28
35.393073,-97.600766,OKC,Okc Will Rogers International Airport,Oklahoma City,US,1295.5
48.251528,-122.673667,ODW,Delaurentis Airport,Oak Harbor,US,193.3
40.527656,-86.059737,OKK,Kokomo Municipal Airport,Kokomo,US,832.2
35.668111,-95.948528,OKM,Okmulgee Regional/Paul And Betty Abbott Field,Okmulgee,US,719.6
41.401911,-102.356352,OKS,Garden County/King Rhiley Field,Oshkosh,US,3394.1
39.143528,-78.144444,WGO,Winchester Regional Airport,Winchester,US,726.2
44.952335,-68.674496,OLD,Dewitt Field/Old Town Municipal Airport,Old Town,US,126.5
42.241194,-78.371361,OLE,Cattaraugus County-Olean Airport,Olean,US,2135.4
48.0945,-105.575056,OLF,L M Clayton Airport,Wolf Point,US,1988.5
46.969404,-122.902545,OLM,Olympia Regional Airport,Olympia,US,207.8
31.417722,-110.847889,OLS,Nogales International Airport,Nogales,US,3955.3
41.448722,-97.340944,OLU,Columbus Municipal Airport,Columbus,US,1447.3
